Sample name;Experiments;Diet;tissue;FM;FO;additive
GAIN_PreChallenge_CTRL1;GAIN_PreChallenge;CTRL_GAIN;PI;10<FM≤20;≤4;NO_ADDS
GAIN_PreChallenge_CTRL2;GAIN_PreChallenge;CTRL_GAIN;PI;10<FM≤20;≤4;NO_ADDS
GAIN_PreChallenge_CTRL3;GAIN_PreChallenge;CTRL_GAIN;PI;10<FM≤20;≤4;NO_ADDS
GAIN_PreChallenge_CTRL4;GAIN_PreChallenge;CTRL_GAIN;PI;10<FM≤20;≤4;NO_ADDS
GAIN_PreChallenge_CTRL5;GAIN_PreChallenge;CTRL_GAIN;PI;10<FM≤20;≤4;NO_ADDS
GAIN_PreChallenge_CTRL6;GAIN_PreChallenge;CTRL_GAIN;PI;10<FM≤20;≤4;NO_ADDS
GAIN_PreChallenge_CTRL7;GAIN_PreChallenge;CTRL_GAIN;PI;10<FM≤20;≤4;NO_ADDS
GAIN_PreChallenge_CTRL8;GAIN_PreChallenge;CTRL_GAIN;PI;10<FM≤20;≤4;NO_ADDS
GAIN_PreChallenge_CTRL9;GAIN_PreChallenge;CTRL_GAIN;PI;10<FM≤20;≤4;NO_ADDS
GAIN_PreChallenge_NOPAP1;GAIN_PreChallenge;NOPAP;PI;≤10;4<FO<12;SANA
GAIN_PreChallenge_NOPAP2;GAIN_PreChallenge;NOPAP;PI;≤10;4<FO<12;SANA
GAIN_PreChallenge_NOPAP3;GAIN_PreChallenge;NOPAP;PI;≤10;4<FO<12;SANA
GAIN_PreChallenge_NOPAP4;GAIN_PreChallenge;NOPAP;PI;≤10;4<FO<12;SANA
GAIN_PreChallenge_NOPAP5;GAIN_PreChallenge;NOPAP;PI;≤10;4<FO<12;SANA
GAIN_PreChallenge_NOPAP6;GAIN_PreChallenge;NOPAP;PI;≤10;4<FO<12;SANA
GAIN_PreChallenge_NOPAP7;GAIN_PreChallenge;NOPAP;PI;≤10;4<FO<12;SANA
GAIN_PreChallenge_NOPAP8;GAIN_PreChallenge;NOPAP;PI;≤10;4<FO<12;SANA
GAIN_PreChallenge_NOPAP9;GAIN_PreChallenge;NOPAP;PI;≤10;4<FO<12;SANA
EGG.HYDRO_X45_1_CTRL;EGG.HYDRO;CTRL_EWH;AI;>20;4<FO<12;NO_ADDS
EGG.HYDRO_X45_2_CTRL;EGG.HYDRO;CTRL_EWH;AI;>20;4<FO<12;NO_ADDS
EGG.HYDRO_X45_3_CTRL;EGG.HYDRO;CTRL_EWH;AI;>20;4<FO<12;NO_ADDS
EGG.HYDRO_X48_1_CTRL;EGG.HYDRO;CTRL_EWH;AI;>20;4<FO<12;NO_ADDS
EGG.HYDRO_X48_2_CTRL;EGG.HYDRO;CTRL_EWH;AI;>20;4<FO<12;NO_ADDS
EGG.HYDRO_X48_3_CTRL;EGG.HYDRO;CTRL_EWH;AI;>20;4<FO<12;NO_ADDS
EGG.HYDRO_X51_1_CTRL;EGG.HYDRO;CTRL_EWH;AI;>20;4<FO<12;NO_ADDS
EGG.HYDRO_X51_2_CTRL;EGG.HYDRO;CTRL_EWH;AI;>20;4<FO<12;NO_ADDS
EGG.HYDRO_X51_3_CTRL;EGG.HYDRO;CTRL_EWH;AI;>20;4<FO<12;NO_ADDS
EGG.HYDRO_X44_1_EGG;EGG.HYDRO;EGG;AI;≤10;≤4;EWH
EGG.HYDRO_X44_2_EGG;EGG.HYDRO;EGG;AI;≤10;≤4;EWH
EGG.HYDRO_X44_3_EGG;EGG.HYDRO;EGG;AI;≤10;≤4;EWH
EGG.HYDRO_X47_1_EGG;EGG.HYDRO;EGG;AI;≤10;≤4;EWH
EGG.HYDRO_X47_2_EGG;EGG.HYDRO;EGG;AI;≤10;≤4;EWH
EGG.HYDRO_X47_3_EGG;EGG.HYDRO;EGG;AI;≤10;≤4;EWH
EGG.HYDRO_X50_1_EGG;EGG.HYDRO;EGG;AI;≤10;≤4;EWH
EGG.HYDRO_X50_2_EGG;EGG.HYDRO;EGG;AI;≤10;≤4;EWH
EGG.HYDRO_X50_3_EGG;EGG.HYDRO;EGG;AI;≤10;≤4;EWH
EGG.HYDRO_X43_1_LOWFMFO;EGG.HYDRO;LOWFMFO;AI;10<FM≤20;≤4;NO_ADDS
EGG.HYDRO_X43_2_LOWFMFO;EGG.HYDRO;LOWFMFO;AI;10<FM≤20;≤4;NO_ADDS
EGG.HYDRO_X43_3_LOWFMFO;EGG.HYDRO;LOWFMFO;AI;10<FM≤20;≤4;NO_ADDS
EGG.HYDRO_X46_1_LOWFMFO;EGG.HYDRO;LOWFMFO;AI;10<FM≤20;≤4;NO_ADDS
EGG.HYDRO_X46_2_LOWFMFO;EGG.HYDRO;LOWFMFO;AI;10<FM≤20;≤4;NO_ADDS
EGG.HYDRO_X46_3_LOWFMFO;EGG.HYDRO;LOWFMFO;AI;10<FM≤20;≤4;NO_ADDS
EGG.HYDRO_X49_1_LOWFMFO;EGG.HYDRO;LOWFMFO;AI;10<FM≤20;≤4;NO_ADDS
EGG.HYDRO_X49_2_LOWFMFO;EGG.HYDRO;LOWFMFO;AI;10<FM≤20;≤4;NO_ADDS
EGG.HYDRO_X49_3_LOWFMFO;EGG.HYDRO;LOWFMFO;AI;10<FM≤20;≤4;NO_ADDS
LS.AQUA_X23_1_CTRL;LS.AQUA;CTRL_LSAQUA;AI;10<FM≤20;4<FO<12;NO_ADDS
LS.AQUA_X23_2_CTRL;LS.AQUA;CTRL_LSAQUA;AI;10<FM≤20;4<FO<12;NO_ADDS
LS.AQUA_X23_3_CTRL;LS.AQUA;CTRL_LSAQUA;AI;10<FM≤20;4<FO<12;NO_ADDS
LS.AQUA_X34_1_CTRL;LS.AQUA;CTRL_LSAQUA;AI;10<FM≤20;4<FO<12;NO_ADDS
LS.AQUA_X34_2_CTRL;LS.AQUA;CTRL_LSAQUA;AI;10<FM≤20;4<FO<12;NO_ADDS
LS.AQUA_X34_3_CTRL;LS.AQUA;CTRL_LSAQUA;AI;10<FM≤20;4<FO<12;NO_ADDS
LS.AQUA_X37_1_CTRL;LS.AQUA;CTRL_LSAQUA;AI;10<FM≤20;4<FO<12;NO_ADDS
LS.AQUA_X37_2_CTRL;LS.AQUA;CTRL_LSAQUA;AI;10<FM≤20;4<FO<12;NO_ADDS
LS.AQUA_X37_3_CTRL;LS.AQUA;CTRL_LSAQUA;AI;10<FM≤20;4<FO<12;NO_ADDS
LS.AQUA_X24_1_50.;LS.AQUA;LSAQUA50;AI;≤10;4<FO<12;NO_ADDS
LS.AQUA_X24_2_50.;LS.AQUA;LSAQUA50;AI;≤10;4<FO<12;NO_ADDS
LS.AQUA_X24_3_50.;LS.AQUA;LSAQUA50;AI;≤10;4<FO<12;NO_ADDS
LS.AQUA_X35_1_50.;LS.AQUA;LSAQUA50;AI;≤10;4<FO<12;NO_ADDS
LS.AQUA_X35_2_50.;LS.AQUA;LSAQUA50;AI;≤10;4<FO<12;NO_ADDS
LS.AQUA_X35_3_50.;LS.AQUA;LSAQUA50;AI;≤10;4<FO<12;NO_ADDS
LS.AQUA_X38_1_50.;LS.AQUA;LSAQUA50;AI;≤10;4<FO<12;NO_ADDS
LS.AQUA_X38_2_50.;LS.AQUA;LSAQUA50;AI;≤10;4<FO<12;NO_ADDS
LS.AQUA_X38_3_50.;LS.AQUA;LSAQUA50;AI;≤10;4<FO<12;NO_ADDS
LS.AQUA_X33_1_100.;LS.AQUA;LSAQUA100;AI;≤10;4<FO<12;NO_ADDS
LS.AQUA_X33_2_100.;LS.AQUA;LSAQUA100;AI;≤10;4<FO<12;NO_ADDS
LS.AQUA_X33_3_100.;LS.AQUA;LSAQUA100;AI;≤10;4<FO<12;NO_ADDS
LS.AQUA_X36_1_100.;LS.AQUA;LSAQUA100;AI;≤10;4<FO<12;NO_ADDS
LS.AQUA_X36_2_100.;LS.AQUA;LSAQUA100;AI;≤10;4<FO<12;NO_ADDS
LS.AQUA_X36_3_100.;LS.AQUA;LSAQUA100;AI;≤10;4<FO<12;NO_ADDS
LS.AQUA_X39_1_100.;LS.AQUA;LSAQUA100;AI;≤10;4<FO<12;NO_ADDS
LS.AQUA_X39_2_100.;LS.AQUA;LSAQUA100;AI;≤10;4<FO<12;NO_ADDS
LS.AQUA_X39_3_100.;LS.AQUA;LSAQUA100;AI;≤10;4<FO<12;NO_ADDS