Sample name;tissue;FM;FO;additive
GAIN_PreChallenge_CTRL1;PI;10<FM≤20;≤4;NO_ADDS
GAIN_PreChallenge_CTRL2;PI;10<FM≤20;≤4;NO_ADDS
GAIN_PreChallenge_CTRL3;PI;10<FM≤20;≤4;NO_ADDS
GAIN_PreChallenge_CTRL4;PI;10<FM≤20;≤4;NO_ADDS
GAIN_PreChallenge_CTRL5;PI;10<FM≤20;≤4;NO_ADDS
GAIN_PreChallenge_CTRL6;PI;10<FM≤20;≤4;NO_ADDS
GAIN_PreChallenge_CTRL7;PI;10<FM≤20;≤4;NO_ADDS
GAIN_PreChallenge_CTRL8;PI;10<FM≤20;≤4;NO_ADDS
GAIN_PreChallenge_CTRL9;PI;10<FM≤20;≤4;NO_ADDS
GAIN_PreChallenge_NOPAP1;PI;≤10;4<FO<12;SANA
GAIN_PreChallenge_NOPAP2;PI;≤10;4<FO<12;SANA
GAIN_PreChallenge_NOPAP3;PI;≤10;4<FO<12;SANA
GAIN_PreChallenge_NOPAP4;PI;≤10;4<FO<12;SANA
GAIN_PreChallenge_NOPAP5;PI;≤10;4<FO<12;SANA
GAIN_PreChallenge_NOPAP6;PI;≤10;4<FO<12;SANA
GAIN_PreChallenge_NOPAP7;PI;≤10;4<FO<12;SANA
GAIN_PreChallenge_NOPAP8;PI;≤10;4<FO<12;SANA
GAIN_PreChallenge_NOPAP9;PI;≤10;4<FO<12;SANA
EGG.HYDRO_X45_1_CTRL;AI;>20;4<FO<12;NO_ADDS
EGG.HYDRO_X45_2_CTRL;AI;>20;4<FO<12;NO_ADDS
EGG.HYDRO_X45_3_CTRL;AI;>20;4<FO<12;NO_ADDS
EGG.HYDRO_X48_1_CTRL;AI;>20;4<FO<12;NO_ADDS
EGG.HYDRO_X48_2_CTRL;AI;>20;4<FO<12;NO_ADDS
EGG.HYDRO_X48_3_CTRL;AI;>20;4<FO<12;NO_ADDS
EGG.HYDRO_X51_1_CTRL;AI;>20;4<FO<12;NO_ADDS
EGG.HYDRO_X51_2_CTRL;AI;>20;4<FO<12;NO_ADDS
EGG.HYDRO_X51_3_CTRL;AI;>20;4<FO<12;NO_ADDS
EGG.HYDRO_X44_1_EGG;AI;≤10;≤4;EWH
EGG.HYDRO_X44_2_EGG;AI;≤10;≤4;EWH
EGG.HYDRO_X44_3_EGG;AI;≤10;≤4;EWH
EGG.HYDRO_X47_1_EGG;AI;≤10;≤4;EWH
EGG.HYDRO_X47_2_EGG;AI;≤10;≤4;EWH
EGG.HYDRO_X47_3_EGG;AI;≤10;≤4;EWH
EGG.HYDRO_X50_1_EGG;AI;≤10;≤4;EWH
EGG.HYDRO_X50_2_EGG;AI;≤10;≤4;EWH
EGG.HYDRO_X50_3_EGG;AI;≤10;≤4;EWH
EGG.HYDRO_X43_1_LOWFMFO;AI;10<FM≤20;≤4;NO_ADDS
EGG.HYDRO_X43_2_LOWFMFO;AI;10<FM≤20;≤4;NO_ADDS
EGG.HYDRO_X43_3_LOWFMFO;AI;10<FM≤20;≤4;NO_ADDS
EGG.HYDRO_X46_1_LOWFMFO;AI;10<FM≤20;≤4;NO_ADDS
EGG.HYDRO_X46_2_LOWFMFO;AI;10<FM≤20;≤4;NO_ADDS
EGG.HYDRO_X46_3_LOWFMFO;AI;10<FM≤20;≤4;NO_ADDS
EGG.HYDRO_X49_1_LOWFMFO;AI;10<FM≤20;≤4;NO_ADDS
EGG.HYDRO_X49_2_LOWFMFO;AI;10<FM≤20;≤4;NO_ADDS
EGG.HYDRO_X49_3_LOWFMFO;AI;10<FM≤20;≤4;NO_ADDS
LS.AQUA_X23_1_CTRL;AI;10<FM≤20;4<FO<12;NO_ADDS
LS.AQUA_X23_2_CTRL;AI;10<FM≤20;4<FO<12;NO_ADDS
LS.AQUA_X23_3_CTRL;AI;10<FM≤20;4<FO<12;NO_ADDS
LS.AQUA_X34_1_CTRL;AI;10<FM≤20;4<FO<12;NO_ADDS
LS.AQUA_X34_2_CTRL;AI;10<FM≤20;4<FO<12;NO_ADDS
LS.AQUA_X34_3_CTRL;AI;10<FM≤20;4<FO<12;NO_ADDS
LS.AQUA_X37_1_CTRL;AI;10<FM≤20;4<FO<12;NO_ADDS
LS.AQUA_X37_2_CTRL;AI;10<FM≤20;4<FO<12;NO_ADDS
LS.AQUA_X37_3_CTRL;AI;10<FM≤20;4<FO<12;NO_ADDS
LS.AQUA_X24_1_50.;AI;≤10;4<FO<12;NO_ADDS
LS.AQUA_X24_2_50.;AI;≤10;4<FO<12;NO_ADDS
LS.AQUA_X24_3_50.;AI;≤10;4<FO<12;NO_ADDS
LS.AQUA_X35_1_50.;AI;≤10;4<FO<12;NO_ADDS
LS.AQUA_X35_2_50.;AI;≤10;4<FO<12;NO_ADDS
LS.AQUA_X35_3_50.;AI;≤10;4<FO<12;NO_ADDS
LS.AQUA_X38_1_50.;AI;≤10;4<FO<12;NO_ADDS
LS.AQUA_X38_2_50.;AI;≤10;4<FO<12;NO_ADDS
LS.AQUA_X38_3_50.;AI;≤10;4<FO<12;NO_ADDS
LS.AQUA_X33_1_100.;AI;≤10;4<FO<12;NO_ADDS
LS.AQUA_X33_2_100.;AI;≤10;4<FO<12;NO_ADDS
LS.AQUA_X33_3_100.;AI;≤10;4<FO<12;NO_ADDS
LS.AQUA_X36_1_100.;AI;≤10;4<FO<12;NO_ADDS
LS.AQUA_X36_2_100.;AI;≤10;4<FO<12;NO_ADDS
LS.AQUA_X36_3_100.;AI;≤10;4<FO<12;NO_ADDS
LS.AQUA_X39_1_100.;AI;≤10;4<FO<12;NO_ADDS
LS.AQUA_X39_2_100.;AI;≤10;4<FO<12;NO_ADDS
LS.AQUA_X39_3_100.;AI;≤10;4<FO<12;NO_ADDS